"Product ID","Product Name","Variation Attributes","Quantity Sold","wwp_wholesale_role"
"22554","Hibiscus Goji Berry | CBD Honey","3-pack-x10","3","wholesale_customer"
"22560","Lemon Ginger | CBD Honey","3-pack-x10","3","wholesale_customer"
"9761","Orange Turmeric | CBD Honey","5-pack-x5","3","wholesale_customer"
"2276","Wild Rosin Honey | CBD Honey","4-oz-2","2","wholesale_customer"
"4110","Apothecary CBD Tea Gift 8-Pack ($120 Value)","custom-gift-box","2",""
"7834","Apothecary Team Shirt","l","2","wholesale_customer"
"7834","Apothecary Team Shirt","m","2","wholesale_customer"
"9761","Orange Turmeric | CBD Honey","3-pack-x10","2","wholesale_customer"
"22554","Hibiscus Goji Berry | CBD Honey","5-pack-x5","1","wholesale_customer"
"22560","Lemon Ginger | CBD Honey","","1","wholesale_customer"
"22560","Lemon Ginger | CBD Honey","5-pack-x5","1","wholesale_customer"
"22979","Apothecary Subscription","","1",""
"36333","Mellow Mint Overstock Sale","40-get-22-free","1",""
"3951","Mighty Matcha | CBD Matcha","matcha-whisk-spoon","1",""
"7834","Apothecary Team Shirt","m","1",""
"7834","Apothecary Team Shirt","s","1",""
"7834","Apothecary Team Shirt","s","1","wholesale_customer"
"7834","Apothecary Team Shirt","xl","1",""
